Yr,Mon,Day,Hr,Min,CH4,C2H6
2012,10,12,5,40,2015.63,4.1497
2012,10,12,5,45,2004.82,4.0395
2012,10,12,5,50,2000.81,4.29143
2012,10,12,5,55,1993.7,3.82395
2012,10,12,6,0,1996.76,4.0555
2012,10,12,6,5,2000.68,3.02423
2012,10,12,6,10,1996.85,2.94067
2012,10,12,6,15,2003.34,3.65452
2012,10,12,6,20,2001.31,2.77107
2012,10,12,6,25,1998.03,3.47066
2012,10,12,6,30,1998.05,3.3538
2012,10,12,6,35,NA,4.49524
2012,10,12,6,40,1999.12,3.9769
2012,10,12,6,45,1995.78,4.02636
2012,10,12,6,50,1995.01,3.60911
2012,10,12,6,55,NA,2.6419
2012,10,12,7,0,NA,3.34228
2012,10,12,7,5,1998.33,5.47727
2012,10,12,7,10,2004.88,4.08491
2012,10,12,7,15,2011,3.93609
2012,10,12,7,20,2005.09,4.69074
2012,10,12,7,25,2013.12,5.00257
2012,10,12,7,30,2013.3,4.53368
2012,10,12,7,35,2019.56,1.08806
2012,10,12,7,40,NA,2.70083
2012,10,12,7,45,NA,2.23701
2012,10,12,7,50,2021.87,3.14589
2012,10,12,7,55,2022.82,2.263
2012,10,12,8,0,2022.99,4.11359
2012,10,12,8,5,2025.46,3.92725
2012,10,12,8,10,2023.6,3.80418
2012,10,12,8,15,2028.54,4.83245
2012,10,12,8,20,2032.92,4.05581
2012,10,12,8,25,2033.52,4.27943
2012,10,12,8,30,2031.74,4.04039
2012,10,12,8,35,NA,5.08544
2012,10,12,8,40,2027.72,5.60192
2012,10,12,8,45,2024.68,5.18712
2012,10,12,8,50,2025.57,4.65371
2012,10,12,8,55,2023.4,4.41375
2012,10,12,9,0,2019.55,4.01371
2012,10,12,9,5,2016.18,4.76231
2012,10,12,9,10,2018.52,4.7402
2012,10,12,9,15,2021.27,5.03207
2012,10,12,9,20,2023.74,4.43646
2012,10,12,9,25,2028.84,5.71288
2012,10,12,9,30,2029.88,4.14998
2012,10,12,9,35,2034.66,4.67413
2012,10,12,9,40,2038.37,4.73759
2012,10,12,9,45,2040.99,6.24432
2012,10,12,9,50,2045.53,4.55879
2012,10,12,9,55,2049.19,5.41817
2012,10,12,10,0,2039.61,4.77146
2012,10,12,10,5,2036.21,3.84168
2012,10,12,10,10,2032.13,2.56879
2012,10,12,10,15,2029.79,2.77013
2012,10,12,10,20,2024.29,2.05685
2012,10,12,10,25,2021.18,1.94807
2012,10,12,10,30,2022.24,3.63439
2012,10,12,10,35,2021.13,3.32105
2012,10,12,10,40,2013.46,2.55887
2012,10,12,10,45,2013.02,1.43466
2012,10,12,10,50,2008.98,4.73989
2012,10,12,10,55,2010.16,5.13423
2012,10,12,11,0,2007.01,3.45913
2012,10,12,11,5,2005.36,1.72681
2012,10,12,11,10,2001.65,-0.162591
2012,10,12,11,15,2000.27,1.50777
2012,10,12,11,20,2005.88,0.890829
